RecordID,WorkerID,InductionType,InductionDate,InductionScore
3386,801,Emergency Response,06-09-13,90
3665,860,First Aid,07-09-13,89
1918,464,Fire Safety,17-09-13,84
219,56,Chemical Safety,19-09-13,88
3113,740,First Aid,21-09-13,59
30,6,Emergency Response,23-09-13,94
3325,784,Fire Safety,28-09-13,64
1538,372,Fire Safety,01-10-13,60
2827,673,First Aid,02-10-13,7
209,55,Chemical Safety,03-10-13,54
765,196,Emergency Response,05-10-13,100
3011,717,Equipment Handling,06-10-13,95
1951,472,Emergency Response,14-10-13,62
4013,942,Equipment Handling,15-10-13,94
1242,298,Fire Safety,18-10-13,37
1081,265,Chemical Safety,20-10-13,92
691,176,Emergency Response,01-11-13,9
3315,782,Chemical Safety,04-11-13,27
1776,431,Chemical Safety,10-11-13,94
3136,745,Chemical Safety,10-11-13,65
2116,501,Fire Safety,12-11-13,85
3647,858,Fire Safety,12-11-13,48
1482,362,Chemical Safety,18-11-13,50
4221,988,Equipment Handling,18-11-13,41
2428,575,Chemical Safety,26-11-13,93
3806,891,Chemical Safety,30-11-13,86
3516,830,Equipment Handling,01-12-13,91
6,2,Equipment Handling,07-12-13,99
2153,507,Emergency Response,08-12-13,96
3452,815,Equipment Handling,12-12-13,87
3748,875,Emergency Response,12-12-13,100
624,161,Equipment Handling,14-12-13,0
2134,504,Fire Safety,14-12-13,96
88,21,Equipment Handling,23-12-13,42
467,121,Fire Safety,30-12-13,85
2200,514,Chemical Safety,31-12-13,83
1441,353,Fire Safety,02-01-14,87
778,198,Equipment Handling,04-01-14,84
2176,510,First Aid,07-01-14,83
2090,497,First Aid,17-01-14,80
2344,555,Chemical Safety,30-01-14,6
4145,972,First Aid,02-02-14,50
457,120,Chemical Safety,03-02-14,27
1231,296,First Aid,09-02-14,77
1686,412,First Aid,10-02-14,93
3723,870,First Aid,12-02-14,96
2774,658,Emergency Response,24-02-14,88
4170,978,First Aid,01-03-14,13
984,243,First Aid,04-03-14,41
2730,649,Chemical Safety,16-03-14,95
115,26,Equipment Handling,18-03-14,48
3861,904,Equipment Handling,26-03-14,19
501,133,Chemical Safety,05-04-14,61
2870,682,Equipment Handling,10-04-14,92
1151,280,Chemical Safety,24-04-14,88
2649,627,Fire Safety,05-05-14,90
2839,675,Equipment Handling,10-05-14,87
1697,414,First Aid,22-05-14,6
701,179,Equipment Handling,23-05-14,94
2073,494,Fire Safety,29-05-14,81
1037,253,Chemical Safety,30-05-14,13
2486,588,Emergency Response,30-05-14,81
3048,723,Emergency Response,30-05-14,45
